filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AUSD - USDC,,False,10296053.0,4179367.0,1029.66,8.99,1777854563
All Pools,AUSD - USDt,,False,10227266.0,3452109.0,1022.78,10.81,1777854563
All Pools,AVAX - USDC,,False,2224709.0,3812564.0,1135.53,10.87,1777854563
All Pools,USDC.e - O3,,False,225259.0,345312695.0,563.15,0.06,1777854563
All Pools,BTC.b - USDC,,False,223826.0,800199.0,113.84,5.19,1777854563
All Pools,AVAX - USDC,,False,53069.0,203770.0,106.48,19.07,1777854563
All Pools,GUN - AVAX,,False,42812.0,126982.0,110.78,31.84,1777854563
All Pools,sAVAX - AVAX,,False,40872.0,186953.0,4.093,0.8,1777854563
All Pools,ARENA - AVAX,,False,39266.0,177194.0,3.925,0.81,1777854563
All Pools,GUN - AVAX,,False,34607.0,39683.0,37.12,34.14,1777854563
All Pools,NXPC - AVAX,,False,33649.0,236118.0,84.12,13.0,1777854563
All Pools,USDC - XAVA,,False,31238.0,608194.0,78.09,4.69,1777854563
All Pools,AVAX - BTC.b,,False,27514.0,579661.0,14.45,0.91,1777854563
All Pools,USDt - USDC,,False,22795.0,694498.0,1.596,0.08,1777854563
All Pools,DAI.e - USDC,,False,20011.0,29590.0,3.84,4.74,1777854563
All Pools,WBTC - BTC.b,,False,17536.0,83432.0,5.327,2.33,1777854563
All Pools,USDT.e - USDC,,False,16819.0,48828.0,3.367,2.52,1777854563
All Pools,QI - AVAX,,False,15825.0,239828.0,39.56,6.02,1777854563
All Pools,COQ - AVAX,,False,15679.0,600303.0,39.2,2.38,1777854563
All Pools,AVAX - USDt,,False,14966.0,130126.0,30.14,8.45,1777854563
All Pools,FOLKS - AVAX,,False,12068.0,34582.0,30.76,32.47,1777854563
All Pools,AVAX - USDT.e,,False,9424.78,546854.0,23.56,1.57,1777854563
All Pools,AAVE.e - AVAX,,False,8587.56,298638.0,21.47,2.62,1777854563
All Pools,USDT.e - USDt,,False,8558.79,44178.0,1.714,1.42,1777854563
All Pools,MIM - AVAX,,False,8203.37,556250.0,20.51,1.35,1777854563
All Pools,JOE - AVAX,,False,7991.21,516344.0,19.98,1.41,1777854563
All Pools,AVAX - USDC,,False,7909.37,402833.0,19.77,1.79,1777854563
All Pools,USDC.e - AVAX,,False,7592.22,425329.0,18.98,1.63,1777854563
All Pools,XAUt0 - USDt,,False,6789.51,38978.0,2.995,2.8,1777854563
All Pools,WBTC.e - BTC.b,,False,5993.07,328550.0,1.84,0.2,1777854563
All Pools,JOE - USDC.e,,False,4706.37,335551.0,11.77,1.28,1777854563
All Pools,EURC - USDC,,False,4293.96,13120.0,1.412,3.93,1777854563
All Pools,ORNG - AVAX,,False,3015.01,27368.0,7.538,10.05,1777854563
All Pools,LCPEDU - USDt,,False,2916.03,9662054.0,46.75,0.18,1777854563
All Pools,FLD - AVAX,,False,2723.71,51235.0,6.809,4.85,1777854563
All Pools,WETH.e - AVAX,,False,2405.15,489092.0,6.013,0.45,1777854563
All Pools,JPYC - USDC,,False,2293.5,4474.03,1.467,11.97,1777854563
All Pools,DAI.e - USDC,,False,2219.77,2407.43,0.42889,6.5,1777854563
All Pools,HEFE - AVAX,,False,1976.07,20629.0,4.94,8.74,1777854563
