filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AVAX - USDC,,false,704004,403802,363.92,32.89,1784680089
All Pools,sAVAX - AVAX,,false,373243,52899,44.25,30.54,1784680089
All Pools,sAVAX - AVAX,,false,103627,47981,104.39,79.41,1784680089
All Pools,ARENA - AVAX,,false,37291,103341,3.717,1.31,1784680089
All Pools,BTC.b - USDC,,false,33376,601734,23.98,1.45,1784680089
All Pools,AUSD - USDC,,false,28504,114142,2.816,0.9,1784680089
All Pools,USDC - XAVA,,false,25596,490073,63.99,4.77,1784680089
All Pools,USDt - USDC,,false,21766,163289,1.777,0.4,1784680089
All Pools,DAI.e - USDC,,false,20303,27233,4.279,5.74,1784680089
All Pools,AVAX - BTC.b,,false,13562,26322,7.002,9.71,1784680089
All Pools,USDt - USDC,,false,12181,160633,0.85941,0.2,1784680089
All Pools,COQ - AVAX,,false,10244,437734,25.61,2.14,1784680089
All Pools,AAVE.e - AVAX,,false,9124.95,262956,22.81,3.17,1784680089
All Pools,AVAX - USDT.e,,false,8740.02,473287,21.85,1.69,1784680089
All Pools,AVAX - USDt,,false,6723.33,100152,13.56,4.94,1784680089
All Pools,AVAX - USDC,,false,6491.88,348239,16.23,1.7,1784680089
All Pools,XAVA - AVAX,,false,6169.33,125175,50.31,14.67,1784680089
All Pools,WBTC - BTC.b,,false,6068.05,70351,1.83,0.95,1784680089
All Pools,FOLKS - AVAX,,false,6015.95,36633,15.22,15.16,1784680089
All Pools,XAUt0 - USDt,,false,5992.35,27748,3.053,4.02,1784680089
All Pools,USDT.e - USDC,,false,5500.7,51212,1.1,0.78,1784680089
All Pools,USDC.e - AVAX,,false,5417.74,368406,13.54,1.34,1784680089
All Pools,USDC.e - USDC,,false,4568.1,9738.49,0.53901,2.02,1784680089
All Pools,PssPss - USDt,,false,4434.02,40.76,11.09,9926.25,1784680089
All Pools,JOE - USDC.e,,false,4343.85,260662,10.86,1.52,1784680089
All Pools,NXUSD - WXT,,false,4064.25,484103,10.16,0.77,1784680089
All Pools,FLD - AVAX,,false,3565.13,36197,8.913,8.99,1784680089
All Pools,WETH.e - AVAX,,false,3474.1,384689,8.685,0.82,1784680089
All Pools,USDC - HOTVOH,,false,3215.74,13283,8.039,22.09,1784680089
All Pools,USDT.e - USDt,,false,3211.77,44572,0.64249,0.53,1784680089
All Pools,AVAX - KONG,,false,3010.88,5364.72,7.527,51.21,1784680089
