filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
Manual (V2),AVAX - USDC,0.05,TRUE,210434495,21610739,108291,188.24,1758102817
Manual (V2),WETH.e - AVAX,0.05,FALSE,38646580,8359067,19576,85.48,1758102817
Manual (V2),AVAX - BTC.b,0.05,TRUE,10624492,6167678,5567.78,84.85,1758102817
Manual (V2),AUSD - USDt,0.01,TRUE,7439303,1645872,749.71,36.69,1758102817
Manual (V2),AUSD - USDC,0.01,TRUE,7196904,1683820,721.97,35.27,1758102817
Manual (V2),USDt - USDC,0.005,TRUE,3369095,9545620,236.3,9.57,1758102817
Manual (V2),sAVAX - AVAX,0.01,TRUE,2695396,16511775,272.96,1.68,1758102817
Manual (V2),AUSD - AVAX,0.1,TRUE,1447212,456981,1477.69,278.07,1758102817
Manual (V2),EURC - USDC,0.03,TRUE,1258421,1762353,390.47,30.6,1758102817
Manual (V2),USDt - USDC,0.01,FALSE,1159329,187199,96.84,18.88,1758102817
Manual (V2),BTC.b - USDC,0.05,FALSE,1139753,1422922,577.44,14.81,1758102817
Manual (V2),WBTC - BTC.b,0.03,TRUE,1069349,1281153,321.55,17.75,1758102817
Manual (V2),ggAVAX - AVAX,0.04,TRUE,890200,9968573,90.22,1.98,1758102817
Manual (V2),SOL - AVAX,0.1,FALSE,607532,1487740,614.54,15.08,1758102817
Manual (V2),YBTC.B - WBTC,0.01,FALSE,539451,567760,54.49,3.5,1758102817
Manual (V2),EURC - AVAX,0.1,FALSE,441098,1589597,450.73,10.35,1758102817
Manual (V2),deUSD - USDC,0.01,TRUE,412109,267599,67.3,17.43,1758102817
Manual (V2),EUROP - USDC,0.1,FALSE,393578,1707210,401.45,8.58,1758102817
Manual (V2),SolvBTC - BTC.b,0.04,TRUE,293050,3964568,100.59,12.57,1758102817
Manual (V2),GUN - AVAX,0.25,FALSE,203779,653870,514.82,28.74,1758102817
Manual (V2),GUN - AVAX,0.1,FALSE,196944,82064,206.49,91.84,1758102817
Manual (V2),WBTC.e - BTC.b,0.03,FALSE,122103,491001,36.73,2.73,1758102817
