filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AVAX - USDC,,false,10494603,3889834,5466.36,51.29,1777508994
All Pools,AUSD - USDC,,false,4711056,4778146,471.5,3.6,1777508994
All Pools,AUSD - USDt,,false,3168116,2466985,316.93,4.69,1777508994
All Pools,USDt - USDC,,false,1130980,783529,79.39,3.7,1777508994
All Pools,BTC.b - USDC,,false,577568,776396,296.19,13.92,1777508994
All Pools,USDt - USDC,,false,115356,181671,9.264,1.86,1777508994
All Pools,AVAX - USDC,,false,76862,199247,155.7,28.52,1777508994
All Pools,AVAX - BTC.b,,false,65531,582270,34.58,2.17,1777508994
All Pools,XAUt0 - USDt,,false,60825,71677,26.83,13.66,1777508994
All Pools,sAVAX - AVAX,,false,59380,185054,5.958,1.18,1777508994
All Pools,USDC - XAVA,,false,48570,522045,121.43,8.49,1777508994
All Pools,AVAX - BBL,,false,44081,1.821,110.2,2208830.18,1777508994
All Pools,GUN - AVAX,,false,40540,124114,102.37,30.11,1777508994
All Pools,NXPC - AVAX,,false,37945,239870,94.86,14.43,1777508994
All Pools,GUN - AVAX,,false,25086,39625,25.72,23.69,1777508994
All Pools,AVAX - USDt,,false,24175,130406,49.04,13.73,1777508994
All Pools,WBTC.e - BTC.b,,false,20608,316290,6.571,0.76,1777508994
All Pools,DAI.e - USDC,,false,18508,29911,4.029,4.92,1777508994
All Pools,AVAX - USDT.e,,false,18171,551518,45.43,3.01,1777508994
All Pools,LCPEDU - USDt,,false,16649,9707976,267.26,1,1777508994
All Pools,MIM - AVAX,,false,16547,562118,41.37,2.69,1777508994
All Pools,USDC.e - AVAX,,false,15829,427901,39.57,3.38,1777508994
All Pools,FOLKS - AVAX,,false,15213,34934,38.52,40.25,1777508994
All Pools,USDT.e - USDC,,false,15173,48811,3.033,2.27,1777508994
All Pools,AVAX - USDC,,false,14890,405706,37.23,3.35,1777508994
All Pools,JOE - USDC.e,,false,12806,327654,32.02,3.57,1777508994
All Pools,JOE - AVAX,,false,11873,508432,29.68,2.13,1777508994
All Pools,COQ - AVAX,,false,11654,631490,29.14,1.68,1777508994
All Pools,USDT.e - USDt,,false,11106,44248,2.222,1.83,1777508994
All Pools,XAVA - AVAX,,false,11085,241059,94.26,14.27,1777508994
All Pools,ARENA - AVAX,,false,11076,176722,1.107,0.23,1777508994
All Pools,SHRAP - AVAX,,false,7368.38,11238,125.67,408.15,1777508994
All Pools,NXUSD - WXT,,false,7009.46,776487,17.52,0.82,1777508994
All Pools,gOHM - AVAX,,false,6037.74,139677,15.09,3.94,1777508994
All Pools,NOCHILL - AVAX,,false,5961.74,87461,14.9,6.22,1777508994
All Pools,WETH.e - AVAX,,false,5821.19,487614,14.55,1.09,1777508994
All Pools,WBTC.e - AVAX,,false,5225.02,168551,13.06,2.83,1777508994
All Pools,AAVE.e - AVAX,,false,5213.82,302392,13.03,1.57,1777508994
All Pools,QI - AVAX,,false,4584.24,228760,11.46,1.83,1777508994
All Pools,ORNG - AVAX,,false,4397.18,27298,10.99,14.7,1777508994
All Pools,JPYC - USDC,,false,3168.03,4477.6,4.611,37.59,1777508994
All Pools,USDC.e - O3,,false,2777.73,345975457,6.944,0,1777508994
All Pools,JOE - USDT.e,,false,2479.67,65869,6.199,3.44,1777508994
All Pools,BEAM - USDC,,false,2242.55,71546,5.606,2.86,1777508994
All Pools,USDC.e - USDC,,false,2153.22,3863.47,0.43935,4.15,1777508994
All Pools,BEAM - AVAX,,false,2043.79,19782,5.149,9.5,1777508994
All Pools,BEAM - AVAX,,false,1917.12,92931,4.793,1.88,1777508994
All Pools,AUSD - AVAX,,false,1783.59,39505,1.86,1.72,1777508994
All Pools,USDt - AVAX,,false,1699.4,45067,4.248,3.44,1777508994
All Pools,EURC - USDC,,false,1615.03,13033,0.48619,1.36,1777508994
All Pools,XAVA - AVAX,,false,1607.85,3187.08,5.43,62.19,1777508994
All Pools,USDT.e - USDC,,false,1492.99,883.06,0.15263,6.31,1777508994
All Pools,JOE - USDC,,false,1486.46,39188,3.716,3.46,1777508994
