filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AVAX - USDC,,False,17697145.0,4036698.0,9052.74,81.86,1777249582
All Pools,AUSD - USDC,,False,16403998.0,4246916.0,1640.48,14.1,1777249582
All Pools,AUSD - USDt,,False,16055036.0,2725924.0,1605.59,21.5,1777249582
All Pools,BTC.b - USDC,,False,483849.0,801125.0,259.81,11.84,1777249582
All Pools,USDt - USDC,,False,475713.0,784976.0,33.31,1.55,1777249582
All Pools,sAVAX - AVAX,,False,139145.0,197547.0,15.51,2.86,1777249582
All Pools,XAUt0 - USDt,,False,55341.0,78544.0,23.53,10.93,1777249582
All Pools,WBTC.e - BTC.b,,False,53835.0,326300.0,18.83,2.11,1777249582
All Pools,AVAX - BTC.b,,False,51364.0,605470.0,28.56,1.72,1777249582
All Pools,NXPC - AVAX,,False,38296.0,245767.0,95.74,14.22,1777249582
All Pools,GUN - AVAX,,False,26943.0,129644.0,72.13,20.31,1777249582
All Pools,WBTC.e - AVAX,,False,23991.0,174132.0,59.98,12.57,1777249582
All Pools,GUN - AVAX,,False,22525.0,41143.0,25.95,23.03,1777249582
All Pools,DAI.e - USDC,,False,22509.0,30313.0,5.384,6.48,1777249582
All Pools,FOLKS - AVAX,,False,22435.0,35830.0,56.96,58.03,1777249582
All Pools,USDt - USDC,,False,14763.0,181722.0,1.182,0.24,1777249582
All Pools,NXUSD - WXT,,False,14115.0,812223.0,35.29,1.59,1777249582
All Pools,COQ - AVAX,,False,12702.0,657475.0,31.76,1.76,1777249582
All Pools,AVAX - USDt,,False,12005.0,134626.0,24.19,6.56,1777249582
All Pools,WBTC - BTC.b,,False,10049.0,84459.0,3.083,1.33,1777249582
All Pools,USDC - XAVA,,False,8724.31,508266.0,21.81,1.57,1777249582
All Pools,JOE - USDC.e,,False,7838.02,333537.0,19.6,2.14,1777249582
All Pools,AVAX - USDT.e,,False,7085.15,559665.0,17.71,1.16,1777249582
All Pools,ARENA - AVAX,,False,6399.01,160665.0,0.63972,0.15,1777249582
All Pools,AVAX - USDC,,False,6243.49,412227.0,15.61,1.38,1777249582
All Pools,USDC.e - AVAX,,False,5842.31,433958.0,14.61,1.23,1777249582
All Pools,MIM - AVAX,,False,5678.81,569621.0,14.2,0.91,1777249582
All Pools,JOE - AVAX,,False,5650.34,527022.0,14.13,0.98,1777249582
All Pools,USDT.e - USDC,,False,5556.71,48224.0,1.111,0.84,1777249582
All Pools,AAVE.e - AVAX,,False,5198.0,311621.0,13.0,1.52,1777249582
All Pools,WETH.e - AVAX,,False,4530.53,506617.0,11.33,0.82,1777249582
All Pools,USDT.e - USDt,,False,4211.88,44323.0,0.84245,0.69,1777249582
All Pools,QI - AVAX,,False,3992.5,237953.0,9.981,1.53,1777249582
All Pools,ORNG - AVAX,,False,2740.35,27676.0,6.851,9.04,1777249582
All Pools,AVAX - USDC,,False,2609.45,206320.0,5.269,0.93,1777249582
All Pools,EURC - USDC,,False,2498.35,13073.0,0.96489,2.69,1777249582
All Pools,BEAM - USDC,,False,1928.07,74315.0,4.82,2.37,1777249582
All Pools,BEAM - AVAX,,False,1904.99,98106.0,4.762,1.77,1777249582
All Pools,WBTC.e - BTC.b,,False,1898.03,685.03,0.92418,49.24,1777249582
All Pools,BTC.b - AVAX,,False,1593.21,143569.0,3.983,1.01,1777249582
All Pools,MUON - AVAX,,False,1577.94,57182.0,3.945,2.52,1777249582
All Pools,SHRAP - AVAX,,False,1543.32,13100.0,15.81,44.05,1777249582
All Pools,USDC.e - USDC,,False,1207.65,3868.09,0.25444,2.4,1777249582
All Pools,USDT.e - USDC,,False,1174.59,884.61,0.1197,4.94,1777249582
All Pools,AVAX - JUICE,,False,1157.79,16137.0,2.894,6.55,1777249582
All Pools,gOHM - AVAX,,False,1148.79,139674.0,2.872,0.75,1777249582
All Pools,GMX - AVAX,,False,1143.9,5120.84,2.86,20.38,1777249582
All Pools,AUSD - AVAX,,False,1136.11,41048.0,1.158,1.03,1777249582
All Pools,DAI.e - USDC,,False,1106.59,2478.21,0.26962,3.97,1777249582
All Pools,JOE - USDT.e,,False,1086.46,67094.0,2.716,1.48,1777249582
All Pools,BEAM - AVAX,,False,1076.66,21237.0,2.72,4.68,1777249582
All Pools,GEM - AVAX,,False,1031.05,4866.19,2.578,19.33,1777249582
All Pools,AVAX - avUSD,,False,1027.07,2304.28,2.584,40.94,1777249582
All Pools,SIERRA - USDC,,False,1024.07,608402.0,1.026,0.06,1777249582
All Pools,USDt - QUILL,,False,946.65,39897.0,2.367,2.17,1777249582
All Pools,SOL - AVAX,,False,836.82,447616.0,2.092,0.17,1777249582
All Pools,HUNDRED - USDC,,False,799.29,513850.0,1.998,0.14,1777249582
All Pools,sAVAX - JACK,,False,753.89,295936.0,1.885,0.23,1777249582
All Pools,FLD - AVAX,,False,724.36,53054.0,1.811,1.25,1777249582
All Pools,USDt - AVAX,,False,704.19,45750.0,1.76,1.4,1777249582
All Pools,NOCHILL - AVAX,,False,686.8,94814.0,1.717,0.66,1777249582
All Pools,XAVA - AVAX,,False,671.25,3226.73,1.711,19.35,1777249582
All Pools,JOE - USDC,,False,629.96,39968.0,1.575,1.44,1777249582
All Pools,KIMBO - AVAX,,False,621.77,65413.0,1.554,0.87,1777249582
All Pools,JPYC - USDC,,False,547.66,4404.39,0.2632,2.18,1777249582
All Pools,USDC.e - USDC,,False,524.05,17020.0,0.05364,0.12,1777249582
All Pools,AVAX - DAI.e,,False,520.26,34707.0,1.301,1.37,1777249582
All Pools,ALOT - AVAX,,False,447.84,230804.0,1.12,0.18,1777249582
All Pools,XAVA - AVAX,,False,442.96,248187.0,3.553,0.52,1777249582
All Pools,w3ULL - AVAX,,False,435.14,70404.0,1.088,0.56,1777249582
All Pools,GGP - AVAX,,False,424.96,91797.0,1.062,0.42,1777249582
All Pools,LINK.e - AVAX,,False,402.68,49973.0,1.007,0.74,1777249582
All Pools,FLOT - AVAX,,False,383.67,4206.43,0.95917,8.32,1777249582
All Pools,YAK - AVAX,,False,345.88,120333.0,0.86471,0.26,1777249582
All Pools,JOE - AVAX,,False,340.29,11336.0,0.85656,2.76,1777249582
All Pools,WETH.e - USDC,,False,336.91,10051.0,0.51106,1.86,1777249582
All Pools,XSEED - AVAX,,False,303.24,13025.0,0.75811,2.12,1777249582
All Pools,sAVAX - AVAX,,False,297.2,249097.0,0.74299,0.11,1777249582
All Pools,CAPY - ARENA,,False,285.26,35371.0,0.71314,0.74,1777249582
All Pools,FTOMB - AVAX,,False,282.5,10160.0,0.70624,2.54,1777249582
All Pools,SolvBTC - BTC.b,,False,263.61,270847.0,0.11535,0.02,1777249582
All Pools,SOL - AVAX,,False,249.69,858.22,2.836,120.62,1777249582
All Pools,USDC.e - USDC,,False,238.75,1978.55,0.04841,0.89,1777249582
All Pools,ZRO - AVAX,,False,229.62,2376.03,0.61027,9.37,1777249582
All Pools,STOMB - AVAX,,False,188.52,7900.37,0.47131,2.18,1777249582
All Pools,AVAX - XAVA,,False,179.5,16095.0,0.44876,1.02,1777249582
All Pools,COQ - COQAI,,False,178.19,29738.0,0.44548,0.55,1777249582
All Pools,AVAX - ALVA,,False,165.72,1404.57,0.41431,10.77,1777249582
All Pools,TECH - AVAX,,False,146.53,14700.0,0.36634,0.91,1777249582
All Pools,SLOT - AVAX,,False,128.0,3986.1,0.32,2.93,1777249582
All Pools,STG - USDC,,False,108.5,1419.91,0.27125,6.97,1777249582
All Pools,USDt - USDC,,False,108.2,2235.66,0.02166,0.35,1777249582
All Pools,WETH.e - USDC.e,,False,96.53,12343.0,0.24131,0.71,1777249582
All Pools,HATCHY - AVAX,,False,91.06,10282.0,0.22764,0.81,1777249582
All Pools,YBTC.B - WBTC,,False,83.41,696.88,0.0193,1.01,1777249582
All Pools,UST - AVAX,,False,80.27,7093.75,0.20068,1.03,1777249582
All Pools,BTC.b - AVAX,,False,79.71,183988.0,0.11411,0.02,1777249582
All Pools,AVAX - GEC,,False,76.92,38016.0,0.19231,0.18,1777249582
All Pools,LUNA - USDC.e,,False,74.18,691.21,0.18544,9.79,1777249582
All Pools,ROCO - AVAX,,False,62.07,1342.18,0.15519,4.22,1777249582
All Pools,AVAX - RISE,,False,60.4,62766.0,0.151,0.09,1777249582
All Pools,PRIME - AVAX,,False,49.79,121523.0,0.70856,0.21,1777249582
All Pools,TOPIA - AVAX,,False,47.12,3708.82,0.05953,0.59,1777249582
All Pools,AVAX - UST,,False,47.12,8073.37,0.1178,0.53,1777249582
All Pools,LORD - AVAX,,False,46.25,2013.48,0.11562,2.1,1777249582
All Pools,MYST - AVAX,,False,45.34,951.05,0.11334,4.35,1777249582
All Pools,AVAX - SQRCAT,,False,44.09,6229.5,0.11023,0.65,1777249582
All Pools,STG - AVAX,,False,43.26,1435.56,0.10814,2.75,1777249582
All Pools,HUSKY - AVAX,,False,40.05,4269.1,0.10011,0.86,1777249582
All Pools,COQ - AVAX,,False,38.17,5300.32,0.30742,2.12,1777249582
All Pools,USDV - AVAX,,False,37.79,1789.14,0.14741,3.01,1777249582
All Pools,PTOP800 - AVAX,,False,37.7,463.12,0.03774,2.97,1777249582
All Pools,MIM - USDt,,False,37.35,9.553,0.0117,44.7,1777249582
All Pools,USDC.e - USDC,,False,36.86,481061.0,0.09215,0.01,1777249582
All Pools,MEOW - AVAX,,False,33.85,10922.0,0.08463,0.28,1777249582
All Pools,CATWIF - AVAX,,False,31.68,3620.17,0.07921,0.8,1777249582
All Pools,gOHM - FRAX,,False,31.49,3525.47,0.07873,0.82,1777249582
All Pools,PTOP800 - USDC,,False,29.91,378.42,0.03015,2.91,1777249582
All Pools,CAT - AVAX,,False,28.89,1653.9,0.07223,1.59,1777249582
All Pools,JOE - AVAX,,False,26.9,68684.0,0.04328,0.02,1777249582
All Pools,BOI - AVAX,,False,26.19,56.82,0.06549,42.07,1777249582
All Pools,XETA - USDC,,False,24.8,8492.21,0.06199,0.27,1777249582
All Pools,AVAX - DOMI,,False,21.76,17772.0,0.05439,0.11,1777249582
All Pools,SHRAP - DOMI,,False,21.47,297.57,0.05367,6.58,1777249582
All Pools,GB - AVAX,,False,20.52,2487.47,0.05129,0.75,1777249582
All Pools,ggAVAX - AVAX,,False,19.96,384.13,0.0021,0.2,1777249582
All Pools,AVAX - SNOB,,False,18.28,1004.17,0.0457,1.66,1777249582
All Pools,COQ - AVAX,,False,17.99,11743.0,0.14473,0.45,1777249582
All Pools,USDT.e - USDt,,False,15.2,19.49,0.00306,5.72,1777249582
All Pools,PTOP800 - BTC.b,,False,13.15,794.43,0.01614,0.74,1777249582
All Pools,GAGA - USDC,,False,12.99,38387.0,0.05209,0.05,1777249582
All Pools,PTOP600 - USDC,,False,10.09,482.41,0.01013,0.77,1777249582
All Pools,AVAX - USDC,0.05,False,17697145.0,4036698.0,9052.74,81.86,1777249808
All Pools,AUSD - USDC,0.01,False,16403998.0,4246916.0,1640.48,14.1,1777249808
All Pools,AUSD - USDt,0.01,False,16055036.0,2725924.0,1605.59,21.5,1777249808
All Pools,BTC.b - USDC,0.05,False,483849.0,801125.0,259.81,11.84,1777249808
All Pools,USDt - USDC,0.005,False,475713.0,784976.0,33.31,1.55,1777249808
All Pools,sAVAX - AVAX,0.01,False,139145.0,197547.0,15.51,2.86,1777249808
All Pools,XAUt0 - USDt,0.04,False,55341.0,78544.0,23.53,10.93,1777249808
All Pools,WBTC.e - BTC.b,0.03,False,53835.0,326300.0,18.83,2.11,1777249808
All Pools,AVAX - BTC.b,0.05,False,51364.0,605470.0,28.56,1.72,1777249808
All Pools,NXPC - AVAX,0.3,False,38296.0,245767.0,95.74,14.22,1777249808
All Pools,GUN - AVAX,0.25,False,26943.0,129644.0,72.13,20.31,1777249808
All Pools,WBTC.e - AVAX,0.3,False,23991.0,174132.0,59.98,12.57,1777249808
All Pools,GUN - AVAX,0.1,False,22525.0,41143.0,25.95,23.03,1777249808
All Pools,DAI.e - USDC,0.02,False,22509.0,30313.0,5.384,6.48,1777249808
All Pools,FOLKS - AVAX,0.25,False,22435.0,35830.0,56.96,58.03,1777249808
All Pools,USDt - USDC,0.01,False,14763.0,181722.0,1.182,0.24,1777249808
All Pools,NXUSD - WXT,0.3,False,14115.0,812223.0,35.29,1.59,1777249808
All Pools,COQ - AVAX,0.3,False,12702.0,657475.0,31.76,1.76,1777249808
All Pools,AVAX - USDt,0.2,False,12005.0,134626.0,24.19,6.56,1777249808
All Pools,WBTC - BTC.b,0.03,False,10049.0,84459.0,3.083,1.33,1777249808
All Pools,USDC - XAVA,0.3,False,8724.31,508266.0,21.81,1.57,1777249808
All Pools,JOE - USDC.e,0.3,False,7838.02,333537.0,19.6,2.14,1777249808
All Pools,AVAX - USDT.e,0.3,False,7085.15,559665.0,17.71,1.16,1777249808
All Pools,ARENA - AVAX,0.01,False,6399.01,160665.0,0.63972,0.15,1777249808
All Pools,AVAX - USDC,0.3,False,6243.49,412227.0,15.61,1.38,1777249808
All Pools,USDC.e - AVAX,0.3,False,5842.31,433958.0,14.61,1.23,1777249808
All Pools,MIM - AVAX,0.3,False,5678.81,569621.0,14.2,0.91,1777249808
All Pools,JOE - AVAX,0.3,False,5650.34,527022.0,14.13,0.98,1777249808
All Pools,USDT.e - USDC,0.02,False,5556.71,48224.0,1.111,0.84,1777249808
All Pools,AAVE.e - AVAX,0.3,False,5198.0,311621.0,13.0,1.52,1777249808
All Pools,WETH.e - AVAX,0.3,False,4530.53,506617.0,11.33,0.82,1777249808
All Pools,USDT.e - USDt,0.02,False,4211.88,44323.0,0.84245,0.69,1777249808
All Pools,QI - AVAX,0.3,False,3992.5,237953.0,9.981,1.53,1777249808
All Pools,ORNG - AVAX,0.3,False,2740.35,27676.0,6.851,9.04,1777249808
All Pools,AVAX - USDC,0.2,False,2609.45,206320.0,5.269,0.93,1777249808
All Pools,EURC - USDC,0.03,False,2498.35,13073.0,0.96489,2.69,1777249808
All Pools,BEAM - USDC,0.3,False,1928.07,74315.0,4.82,2.37,1777249808
All Pools,BEAM - AVAX,0.3,False,1904.99,98106.0,4.762,1.77,1777249808
All Pools,WBTC.e - BTC.b,0.03,False,1898.03,685.03,0.92418,49.24,1777249808
All Pools,BTC.b - AVAX,0.3,False,1593.21,143569.0,3.983,1.01,1777249808
All Pools,MUON - AVAX,0.3,False,1577.94,57182.0,3.945,2.52,1777249808
All Pools,SHRAP - AVAX,0.8,False,1543.32,13100.0,15.81,44.05,1777249808
All Pools,USDC.e - USDC,0.02,False,1207.65,3868.09,0.25444,2.4,1777249808
All Pools,USDT.e - USDC,0.02,False,1174.59,884.61,0.1197,4.94,1777249808
All Pools,AVAX - JUICE,0.3,False,1157.79,16137.0,2.894,6.55,1777249808
All Pools,gOHM - AVAX,0.3,False,1148.79,139674.0,2.872,0.75,1777249808
All Pools,GMX - AVAX,0.3,False,1143.9,5120.84,2.86,20.38,1777249808
