tokenId,loanId,owner,startTimestamp,duration,loanState,borrowedAmount,repaidAmount,interestAccrued,fee,liquidator,healthFactorBps,isLiquidated,isRepaid
21559,15070072,0x756455357076c58510F2eC0cf29117f151e7AB9e,1762458164,15068694,2,1762978594,0,545696022088584838139,1378,0x0000000000000000000000000000000000000000,2500,True,False
19443,242272968,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761755034,242272968,2,0,0,6084500352148343055842,0,0x0000000000000000000000000000000000000000,2500,False,False
19445,85201677,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761755255,85201677,2,0,0,2145903506528959404718,0,0x0000000000000000000000000000000000000000,2500,False,False
6299,4339494368,0xE6e1B74efeC66cd0cEedBAb724F9d2F72cC53a4f,1761724560,4339494368,2,0,0,107521763145176957438203,0,0x0000000000000000000000000000000000000000,2500,False,False
8199,0,0xdBab0B75921E3008Fd0bB621A8248D969d2d2F0d,1762015175,0,2,0,0,599885806679899797428,0,0x0000000000000000000000000000000000000000,9000,False,False
9232,179374032,0x6cFD0360434F07e6fd242dA84e1ac1434F3C3598,1761812329,179368058,2,0,0,6496169662181652290627,5974,0x0000000000000000000000000000000000000000,1000,True,False
4602,13853721,0xaA0a5D631EeF76414f50644852027b3E7cc957a2,1761753344,13853721,2,0,0,531136635568084941283,0,0x0000000000000000000000000000000000000000,2500,False,False
17941,414351692,0xA69Bfd278A9EdD4750d37DD3d5648B3C2AEAA059,1761799435,414351692,2,0,0,14008121765310683672615,0,0x0000000000000000000000000000000000000000,2500,False,False
19439,15662034252,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761754336,15662034252,2,0,0,389312715438535867720167,0,0x0000000000000000000000000000000000000000,2500,False,False
10297,0,0x2Dc2285E1Cc1cC72c3487F5bE7A6CBcA048DCd84,1761600588,0,2,0,0,238044795651117152661,0,0x0000000000000000000000000000000000000000,9000,False,False
13918,4525975778,0x9b410973B4650A57eb7FfFf45279A33d7427a68E,1762182714,4525975778,2,1762981990,0,131991151950085242681336,0,0x0000000000000000000000000000000000000000,2500,True,False
19362,0,0x60583f22aDA7B1352bB2faF694b3eAaf942696DD,1761919309,0,2,0,0,3523234014547118625789,0,0x0000000000000000000000000000000000000000,2500,False,False
10461,0,0xd3d99ab6981587d5522854CA370726eEF63a8e4D,1761677195,0,2,0,0,146956156207387033047,0,0x0000000000000000000000000000000000000000,5000,False,False
18860,112247155,0x163a23aCe184bd1b3EAb9524c3A337A84B4E87F4,1761671253,112247155,2,0,0,4189587886213361520283,0,0x0000000000000000000000000000000000000000,2500,False,False
19427,133502324,0x4420681317b7A3364443F22A1e32e01Da15c9475,1761747944,132442782,1,0,0,4889516300849117261437,1059542,0x0000000000000000000000000000000000000000,0,False,False
19319,952010117,0x6e96e00A2f1Ec17ef53311eFC242ADA247dc7424,1761835039,952010117,2,1762795498,0,23485470512548312870968,0,0x0000000000000000000000000000000000000000,2500,False,False
19448,339265377,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761792753,339265377,2,0,0,8526555821886508235192,0,0x0000000000000000000000000000000000000000,2500,False,False
19442,690375090,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761754770,690375090,2,0,0,17210257350918377258623,0,0x0000000000000000000000000000000000000000,2500,False,False
10465,1957594,0x408eb20027A1Dc88905c167788A3e0eAb1D5c816,1762024778,1957594,2,0,0,74241028694397633756,0,0x0000000000000000000000000000000000000000,0,False,False
21434,63261183,0x687e7E2AE01001dD7f5f336cdDF77836C053b81d,1762083505,63261183,2,0,0,2393905879316537553901,0,0x0000000000000000000000000000000000000000,0,False,False
20840,0,0x1B9da6a404Df58c6BeF6336e207c92B0D330bEa2,1762372514,0,2,0,0,647278072775480009522,0,0x0000000000000000000000000000000000000000,1000,False,False
19510,127157986,0xf51fA083336797D6E5f083e5a73208F3e185A8b9,1761786510,127157986,2,0,0,3170664982032495970778,0,0x0000000000000000000000000000000000000000,2500,False,False
19296,328689243,0xf51fA083336797D6E5f083e5a73208F3e185A8b9,1761786141,328689243,2,0,0,8259645034133644298638,0,0x0000000000000000000000000000000000000000,2500,False,False
16191,276030463,0xb150B53A0a444eB153d1823C67d22795A3735DDa,1762091900,276030463,2,1762981695,0,7006916048010211598408,0,0x0000000000000000000000000000000000000000,1000,False,False
16559,4614659702,0x3480b0d7Bc424B95711E1C50bc1b9c8c055478d0,1761795795,4614659702,2,0,0,124668240793668815990314,0,0x0000000000000000000000000000000000000000,5,False,False
19440,5498124038,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761754488,5498124038,2,0,0,137608121235450939731740,0,0x0000000000000000000000000000000000000000,2500,False,False
