filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AUSD - USDC,,false,16027081,5259350,1602.9,11.12,1778372791
All Pools,AUSD - USDt,,false,15055192,3487280,1505.59,15.76,1778372791
All Pools,AVAX - USDC,,false,4221705,4040558,2157.01,19.49,1778372791
All Pools,USDt - USDC,,false,1126961,754383,79.02,3.82,1778372791
All Pools,BTC.b - USDC,,false,143825,826527,72.4,3.2,1778372791
All Pools,sAVAX - AVAX,,false,99882,207809,11.47,2.01,1778372791
All Pools,DAI.e - USDC,,false,45526,31016,11.23,13.22,1778372791
All Pools,COQ - AVAX,,false,39937,722666,99.84,5.04,1778372791
All Pools,AVAX - BTC.b,,false,37015,620132,19.98,1.18,1778372791
All Pools,XAVA - AVAX,,false,35236,247790,284.87,41.96,1778372791
All Pools,GUN - AVAX,,false,31069,43709,31.98,26.71,1778372791
All Pools,GUN - AVAX,,false,30170,139110,76.05,19.95,1778372791
All Pools,NXPC - AVAX,,false,29266,270026,73.17,9.89,1778372791
All Pools,ARENA - AVAX,,false,29189,162957,2.919,0.65,1778372791
All Pools,USDT.e - USDC,,false,28106,50856,5.759,4.13,1778372791
All Pools,LCPEDU - USDt,,false,28089,10614405,0.00168,0,1778372791
All Pools,USDC - XAVA,,false,22455,740773,56.14,2.77,1778372791
All Pools,USDt - USDC,,false,19560,171701,1.567,0.33,1778372791
All Pools,AVAX - USDt,,false,18284,140516,36.84,9.57,1778372791
All Pools,NOCHILL - AVAX,,false,17250,108036,43.13,14.57,1778372791
All Pools,AVAX - USDT.e,,false,15254,577669,38.13,2.41,1778372791
All Pools,XAUt0 - USDt,,false,14125,34525,5.87,6.21,1778372791
All Pools,DAI.e - USDt,,false,14053,20117,34,61.69,1778372791
All Pools,AVAX - USDC,,false,13184,424273,32.96,2.84,1778372791
All Pools,JOE - AVAX,,false,11635,553816,29.09,1.92,1778372791
All Pools,QI - AVAX,,false,9512.38,246497,23.78,3.52,1778372791
All Pools,MIM - AVAX,,false,9127.96,588079,22.82,1.42,1778372791
All Pools,FLD - AVAX,,false,7733.65,50991,19.33,13.84,1778372791
All Pools,USDT.e - USDt,,false,7680.74,44277,1.547,1.28,1778372791
All Pools,WETH.e - AVAX,,false,7284.97,519369,18.21,1.28,1778372791
All Pools,USDC.e - AVAX,,false,7044.76,450272,17.61,1.43,1778372791
All Pools,JOE - USDC.e,,false,6681.1,343684,16.7,1.77,1778372791
All Pools,WBTC - BTC.b,,false,6129.46,85027,1.867,0.8,1778372791
All Pools,AAVE.e - AVAX,,false,5957.25,320445,14.89,1.7,1778372791
All Pools,FOLKS - AVAX,,false,5510.86,35602,14.04,14.4,1778372791
All Pools,USDT.e - USDC,,false,4977.05,888.65,0.54458,22.37,1778372791
All Pools,USDC.e - O3,,false,4524.56,343473726,11.31,0,1778372791
All Pools,WBTC.e - BTC.b,,false,3985.63,336517,1.358,0.15,1778372791
All Pools,AVAX - avUSD,,false,3234.56,2442.92,10.87,162.39,1778372791
All Pools,JPYC - USDC,,false,3213.81,4500.74,2.193,17.79,1778372791
All Pools,SOL - AVAX,,false,3168.22,477410,7.921,0.61,1778372791
All Pools,ORNG - AVAX,,false,3090.93,29248,7.727,9.64,1778372791
All Pools,HOWL - AVAX,,false,2869.96,4227.58,7.175,61.95,1778372791
All Pools,DAI.e - USDC,,false,2693.84,2455.51,0.55126,8.19,1778372791
All Pools,KIMBO - AVAX,,false,2687.82,70257,6.72,3.49,1778372791
All Pools,WBTC.e - AVAX,,false,2267.88,182019,5.67,1.14,1778372791
All Pools,BEAM - AVAX,,false,2113.2,101397,5.283,1.9,1778372791
All Pools,BTC.b - AVAX,,false,2106.74,149920,5.267,1.28,1778372791
All Pools,AVAX - ALVA,,false,2095.31,1660.26,5.238,115.16,1778372791
All Pools,BEAM - AVAX,,false,1967.58,21708,4.957,8.33,1778372791
All Pools,XAVA - AVAX,,false,1854.17,3486.88,4.797,50.22,1778372791
All Pools,ALOT - AVAX,,false,1787.83,240234,4.47,0.68,1778372791
All Pools,LINK.e - AVAX,,false,1778.59,53930,4.446,3.01,1778372791
All Pools,SolvBTC - BTC.b,,false,1713.87,274064,0.60939,0.08,1778372791
All Pools,AVAX - USDC,,false,1681.25,218443,3.422,0.57,1778372791
All Pools,WETH.e - AVAX,,false,1559.76,833191,0.79855,0.03,1778372791
All Pools,JOE - USDT.e,,false,1532.57,68767,3.831,2.03,1778372791
All Pools,AVAX - SWAP.e,,false,1398.36,30177,3.496,4.23,1778372791
All Pools,BEAM - USDC,,false,1370.29,74713,3.426,1.67,1778372791
All Pools,sAVAX - AVAX,,false,1342.38,262580,3.356,0.47,1778372791
All Pools,AVAX - JUICE,,false,1239.16,16230,3.098,6.97,1778372791
All Pools,SHRAP - AVAX,,false,1223.78,13462,12.97,35.17,1778372791
All Pools,USDt - AVAX,,false,1215.38,47182,3.038,2.35,1778372791
All Pools,JOE - USDC,,false,1173.66,40855,2.934,2.62,1778372791
All Pools,AUSD - AVAX,,false,999.76,33991,1.097,1.18,1778372791
All Pools,AVAX - GEC,,false,973.69,43454,2.434,2.04,1778372791
All Pools,AVAX - DAI.e,,false,848.91,36041,2.122,2.15,1778372791
All Pools,GURS - AVAX,,false,677.28,9588.2,1.693,6.45,1778372791
All Pools,WBTC.e - BTC.b,,false,655.02,705.22,0.2783,14.4,1778372791
All Pools,JOE - AVAX,,false,609.34,11208,1.529,4.98,1778372791
All Pools,USDt - QUILL,,false,579,53465,1.447,0.99,1778372791
All Pools,USDC.e - USDC,,false,554.71,485033,1.387,0.1,1778372791
All Pools,AVAX - XAVA,,false,528.53,17430,1.321,2.77,1778372791
All Pools,REDFEG - AVAX,,false,505.37,1011.44,0.50565,18.25,1778372791
All Pools,USDM - AVAX,,false,505.37,1011.44,0.50565,18.25,1778372791
All Pools,SHL - AVAX,,false,505.37,1011.44,0.50565,18.25,1778372791
All Pools,STLS - AVAX,,false,505.37,8.26,0.50565,2234.4,1778372791
All Pools,WEB4 - AVAX,,false,504.92,1010.54,0.5052,18.25,1778372791
All Pools,XPS - AVAX,,false,504.92,1010.54,0.5052,18.25,1778372791
All Pools,LICK - AVAX,,false,504.92,1010.54,0.5052,18.25,1778372791
All Pools,OZONE - AVAX,,false,504.92,1010.54,0.5052,18.25,1778372791
All Pools,ZHC - AVAX,,false,504.92,7.811,0.5052,2360.74,1778372791
All Pools,OFF - AVAX,,false,504.92,1010.54,0.5052,18.25,1778372791
All Pools,ULAB - AVAX,,false,504.92,1010.54,0.5052,18.25,1778372791
All Pools,LOOP - AVAX,,false,504.92,7.811,0.5052,2360.74,1778372791
All Pools,CNG - AVAX,,false,504.83,1010.36,0.50511,18.25,1778372791
All Pools,TONY - AVAX,,false,504.83,1010.36,0.50511,18.25,1778372791
All Pools,CRUX - AVAX,,false,504.83,1010.36,0.50511,18.25,1778372791
All Pools,LTP - AVAX,,false,504.47,1009.63,0.50474,18.25,1778372791
All Pools,PROMISE - AVAX,,false,503.91,1008.5,0.50418,18.25,1778372791
All Pools,EFT - AVAX,,false,503.91,1008.5,0.50418,18.25,1778372791
All Pools,SHAN - AVAX,,false,503.74,1008.18,0.50402,18.25,1778372791
All Pools,LBR - AVAX,,false,503.74,6.629,0.50402,2775.01,1778372791
All Pools,WWEMIX - AVAX,,false,503.74,1008.18,0.50402,18.25,1778372791
All Pools,VKSM - AVAX,,false,503.74,1008.18,0.50402,18.25,1778372791
All Pools,GMX - AVAX,,false,503.34,5314.78,1.258,8.64,1778372791
All Pools,VPR - AVAX,,false,503.22,1007.13,0.5035,18.25,1778372791
All Pools,AID - AVAX,,false,503.22,1007.13,0.5035,18.25,1778372791
All Pools,- AVAX,,false,503.22,1007.13,0.5035,18.25,1778372791
All Pools,GTC - AVAX,,false,503.22,1007.13,0.5035,18.25,1778372791
All Pools,DSHARE - AVAX,,false,503.22,1007.13,0.5035,18.25,1778372791
All Pools,NYAN - AVAX,,false,502.84,1006.36,0.50311,18.25,1778372791
All Pools,DKS - AVAX,,false,502.84,1006.36,0.50311,18.25,1778372791
All Pools,XED - AVAX,,false,502.84,5.723,0.50311,3208.81,1778372791
All Pools,H2O - AVAX,,false,502.84,5.723,0.50311,3208.81,1778372791
All Pools,TRR - AVAX,,false,502.84,1006.36,0.50311,18.25,1778372791
All Pools,P33L - AVAX,,false,502.84,1006.36,0.50311,18.25,1778372791
All Pools,AGRF - AVAX,,false,502.8,1006.28,0.50307,18.25,1778372791
All Pools,BLASTUP - AVAX,,false,502.69,1006.06,0.50296,18.25,1778372791
All Pools,IFARM - AVAX,,false,502.69,1006.06,0.50296,18.25,1778372791
All Pools,RTX - AVAX,,false,502.69,1006.06,0.50296,18.25,1778372791
All Pools,$5SCAPE - AVAX,,false,502.69,1006.06,0.50296,18.25,1778372791
All Pools,MEB - AVAX,,false,502.69,1006.06,0.50296,18.25,1778372791
All Pools,HGHG - AVAX,,false,502.69,1006.06,0.50296,18.25,1778372791
All Pools,GOC - AVAX,,false,502.46,1005.61,0.50274,18.25,1778372791
All Pools,AI - AVAX,,false,502.46,1005.61,0.50274,18.25,1778372791
All Pools,BEANS - AVAX,,false,502.46,1005.61,0.50274,18.25,1778372791
All Pools,PHL - AVAX,,false,502.46,1005.61,0.50274,18.25,1778372791
All Pools,NUTS - AVAX,,false,502.46,1005.61,0.50274,18.25,1778372791
All Pools,SOLC - AVAX,,false,502.46,1005.61,0.50274,18.25,1778372791
All Pools,AAMMUNISNXWETH - AVAX,,false,502.33,1005.35,0.50261,18.25,1778372791
All Pools,PLACE - AVAX,,false,502.33,1005.35,0.50261,18.25,1778372791
All Pools,MILADY - AVAX,,false,502.33,1005.35,0.50261,18.25,1778372791
All Pools,ATHX - AVAX,,false,502.33,1005.35,0.50261,18.25,1778372791
All Pools,VGO - AVAX,,false,502.3,1005.3,0.50258,18.25,1778372791
All Pools,VFX - AVAX,,false,502.3,1005.3,0.50258,18.25,1778372791
All Pools,HODL - AVAX,,false,502.3,1005.3,0.50258,18.25,1778372791
All Pools,LYD - AVAX,,false,502.3,1005.3,0.50258,18.25,1778372791
All Pools,LIFE - AVAX,,false,502.3,5.189,0.50258,3535.15,1778372791
All Pools,WMN - AVAX,,false,502.26,1005.21,0.50254,18.25,1778372791
All Pools,BLEO - AVAX,,false,502.26,1005.21,0.50254,18.25,1778372791
All Pools,SELF - AVAX,,false,502.25,1005.19,0.50253,18.25,1778372791
All Pools,TMT - AVAX,,false,502.25,1005.19,0.50253,18.25,1778372791
All Pools,AICE - AVAX,,false,502.25,1005.19,0.50253,18.25,1778372791
All Pools,SPIN - AVAX,,false,502.25,1005.19,0.50253,18.25,1778372791
All Pools,BSL - AVAX,,false,502.25,1005.19,0.50253,18.25,1778372791
All Pools,DCAI - AVAX,,false,501.86,4.749,0.50214,3858.96,1778372791
